,Date,Timestamp,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio
,,,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP
,,,Total,solana,Total,Total,Total,Total,solana,solana,solana,solana,Total,Total,Total,Total,solana,solana,solana,solana
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator
,23/05/2022,1653264000,95302.05393947028,,25714.706605232626,3790.8647549295342,21691.153167559958,44062.8998094506,,,,,2401656.7189,3787.0776772522822,21669.483683876086,87920066.66291,,,,
,24/05/2022,1653350400,96786.7894426126,,25508.57240904944,3722.9442091886535,21762.985303664464,45792.28752071004,,,,,2401656.7189,3715.5131828230074,21741.244059604862,87920066.66291,,,,
,25/05/2022,1653436800,97709.9238324498,,22858.656435116744,3656.8600838699517,21802.67226357352,49391.73504988958,,,,,2401656.7189,3653.206876992959,21803.697037334277,87920066.66291,,,,
,26/05/2022,1653523200,97412.58625329455,,22588.30193827017,3687.535527333057,21793.369774466348,49343.37901322498,,,,,2401656.7189,3687.535527333057,21771.59817629006,87920066.66291,,,,
,27/05/2022,1653609600,101139.26765521042,,20932.071431782355,3825.8016004556885,21674.012342643262,54707.38228032912,,,,,2401656.7189,3806.7677616474516,21652.359982660604,87920066.66291,,,,
,28/05/2022,1653696000,99942.49445418348,,21625.621859066297,3688.155901679128,21822.16625436106,52806.550439077,,,,,2401656.7189,3680.794313053022,21778.609036288482,87920066.66291,,,,
,29/05/2022,1653782400,87418.35920605094,,21017.090079631413,3722.5120570245294,21791.530067808693,40887.227001586296,,,,,2401656.7189,3711.3779232547654,21748.033999809075,87920066.66291,,,,
,30/05/2022,1653868800,93774.39975870939,,20819.866029875346,4021.6326051095934,21471.01153708574,47461.88958663871,,,,,2401656.7189,4009.6037937284086,21449.56197511063,87920066.66291,,,,
,31/05/2022,1653955200,98558.99416472977,,24605.381366772715,4411.292398371421,21054.403634990755,48487.91676459487,,,,,2401656.7189,4402.487423524372,21056.425051795726,87920066.66291,,,,
,01/06/2022,1654041600,94752.76718180036,,22655.62037610094,4666.540175940872,20796.924071084442,46633.682558674096,,,,,2401656.7189,4661.878297643229,20796.924071084442,87920066.66291,,,,
,02/06/2022,1654128000,95408.57217679353,,23394.466049103336,4088.870859103063,21404.09039524156,46521.14487334557,,,,,2401656.7189,4076.640936294181,21382.707687554008,87920066.66291,,,,
,03/06/2022,1654214400,86137.41554110228,,22410.795490176275,4349.54169402458,21087.010124537497,38290.068232363934,,,,,2401656.7189,4357.507217217653,21101.696905583784,87920066.66291,,,,
,04/06/2022,1654300800,76503.2655395539,,21969.97139942218,3770.121784546342,21715.261530826556,29047.910824758837,,,,,2401656.7189,3766.3554291172254,21693.567962863694,87920066.66291,,,,
,05/06/2022,1654387200,77494.58163264349,,21279.879357813454,4384.516994709223,21079.26276410141,30750.922516019404,,,,,2401656.7189,4380.136857851372,21079.26276410141,87920066.66291,,,,
,06/06/2022,1654473600,74121.58362616741,,19611.376385492054,4450.279298575982,21006.741913340767,29053.186028758606,,,,,2401656.7189,4445.833465110871,21013.550303639146,87920066.66291,,,,
,07/06/2022,1654560000,75104.26191205485,,19744.572267122247,4488.533341304131,21028.448076236924,29842.70822739154,,,,,2401656.7189,4493.863062896727,20965.551421971013,87920066.66291,,,,
,08/06/2022,1654646400,71951.19140606283,,18391.310755723665,4563.262872741238,20886.81406413234,28109.803713465586,,,,,2401656.7189,4572.077838814473,20887.46157544118,87920066.66291,,,,
,09/06/2022,1654732800,74588.12021686559,,18403.679287826002,4358.740360750313,21105.55007560189,30720.150492687382,,,,,2401656.7189,4354.385974775538,21105.55007560189,87920066.66291,,,,
