,Date,Timestamp,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio
,,,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP
,,,Total,solana,Total,Total,Total,Total,solana,solana,solana,solana,Total,Total,Total,Total,solana,solana,solana,solana
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator
,24/12/2021,1640304000,27371255.03633882,,4019.268568596929,15402526.18115573,11954324.744406521,10384.842207974063,,,,,45488.965997,15402526.18115573,11954324.744406521,2281876.376447,,,,
,25/12/2021,1640390400,28257276.562202856,,3683.3780436750812,16125971.416255236,12117836.762539046,9785.005364897439,,,,,45488.965997,16125971.416255236,12117836.762539046,2281876.376447,,,,
,26/12/2021,1640476800,28265939.33249108,,3497.055238951369,16249287.056582784,12003584.871415181,9570.34925416507,,,,,45488.965997,16249287.056582784,12003584.871415181,2281876.376447,,,,
,27/12/2021,1640563200,28264591.108826455,,4717.387729752888,16133643.194541505,12116919.17026976,9311.356285438336,,,,,45488.965997,16143910.721760543,12130250.315366346,2281876.376447,,,,
,28/12/2021,1640649600,29135753.056635864,,4381.588182763034,16868988.245409958,12252804.81876537,9578.404277773927,,,,,45488.965997,16868988.245409958,12252804.81876537,2281876.376447,,,,
,29/12/2021,1640736000,29133058.844804943,,34115.60752297696,16056975.986805968,12934661.662933227,107305.58754276841,,,,,396186.360736,16060669.940892372,12934661.662933227,26693463.437772,,,,
,30/12/2021,1640822400,29390236.317180343,,36371.096474647005,16122084.813096983,13131325.697457246,100454.71015146423,,,,,396186.360736,16139353.921793303,13001312.571739849,26693463.437772,,,,
,31/12/2021,1640908800,29419414.287628334,,42771.48713233709,15518489.210436989,13759996.920174902,98156.66988410644,,,,,396186.360736,15534660.792321796,13759996.920174902,26693463.437772,,,,
,01/01/2022,1640995200,29710155.56047728,,48911.97953738435,15367938.46868992,14173051.860266713,120253.2519832597,,,,,396186.360736,15367938.46868992,14032724.614125459,26693463.437772,,,,
,02/01/2022,1641081600,30081808.960681602,,54683.226254225665,14694384.578715324,15167120.761008495,165620.3947035595,,,,,396186.360736,14694384.578715324,15167120.761008495,26693463.437772,,,,
,03/01/2022,1641168000,30904497.013646442,,53153.94690178471,15357752.09248621,15257867.938939977,235723.0353184707,,,,,396186.360736,15357752.09248621,15257867.938939977,26693463.437772,,,,
,04/01/2022,1641254400,33255549.292819552,,44872.06721695936,16638050.54628537,16128300.633663787,444326.04565343383,,,,,396186.360736,16645491.080798486,16140470.548457325,26693463.437772,,,,
,05/01/2022,1641340800,33492066.33084703,,49360.462497737506,15765207.229905497,17223638.221519656,453860.41692413716,,,,,396186.360736,15765207.229905497,17223638.221519656,26693463.437772,,,,
,06/01/2022,1641427200,33526269.456895135,,41203.777702904736,15752100.137441916,17424011.925771292,308953.61597902,,,,,396186.360736,15752100.137441916,17251496.9562092,26693463.437772,,,,
,07/01/2022,1641513600,33379638.922900174,,50956.5802955209,16893451.342967764,16140570.616853826,294660.3827830648,,,,,509056.746209,16893451.342967764,16140570.616853826,33691759.877411,,,,
,08/01/2022,1641600000,33544644.149293866,,44752.19667272561,16119472.118844585,17092047.68105701,288372.1527195448,,,,,509056.746209,15959873.38499464,17092047.68105701,33691759.877411,,,,
,09/01/2022,1641686400,33512563.275548782,,45004.17976209906,16302523.090177307,16744187.516134253,420848.48947512364,,,,,509056.746209,16302523.090177307,16744187.516134253,33691759.877411,,,,
,10/01/2022,1641772800,33519089.264606737,,44222.77765666825,16278617.043582473,16846284.710580956,349964.73278663744,,,,,509056.746209,16278617.043582473,16897534.934035886,33691759.877411,,,,
,11/01/2022,1641859200,33529113.329629704,,37709.905645670304,16615744.49875755,16612502.35943439,263156.5657920929,,,,,509056.746209,16615744.49875755,16612502.35943439,33691759.877411,,,,
,12/01/2022,1641945600,33599835.98672346,,44633.586450858915,16814713.03335135,16388057.04964119,352432.317280059,,,,,509056.746209,16825750.725827493,16440700.171590624,33691759.877411,,,,
,13/01/2022,1642032000,33650347.658891946,,50701.55934676524,16965531.963038657,16265747.97836857,368366.15813795256,,,,,601884.652375,16965531.963038657,16308247.270756159,39090951.920074,,,,
,14/01/2022,1642118400,34497315.07825933,,47000.57061931137,17790026.64103863,16334781.419058122,325506.4475432642,,,,,601884.652375,17790026.64103863,16334781.419058122,39090951.920074,,,,
,15/01/2022,1642204800,34663494.17951398,,51290.80442144037,17726755.77963484,16526930.79356553,358516.8018921707,,,,,601884.652375,17726755.77963484,16536339.971009035,39090951.920074,,,,
,16/01/2022,1642291200,34839105.10696384,,56565.11963020249,18605111.313194968,15751551.907535903,425876.76660276536,,,,,601884.652375,18605111.313194968,15751551.907535903,39090951.920074,,,,
,17/01/2022,1642377600,38775480.88515052,,77427.64545082474,20959952.504302114,16933904.08156945,804196.6538281264,,,,,601884.652375,20959952.504302114,16933904.08156945,39090951.920074,,,,
,18/01/2022,1642464000,38792185.56768986,,69792.1367507955,20810027.59603243,17139121.005899303,773244.8290073309,,,,,601884.652375,20810027.59603243,17139121.005899303,39090951.920074,,,,
,19/01/2022,1642550400,39498392.61332579,,67781.24012721062,19947898.74747702,18783703.078048524,699009.5476730337,,,,,601884.652375,19947898.74747702,18784661.09576441,39090951.920074,,,,
,20/01/2022,1642636800,40984466.47426614,,68532.994058027,21544444.208746694,18534091.499439012,837397.7720224028,,,,,601884.652375,21544444.208746694,18534091.499439012,39090951.920074,,,,
,21/01/2022,1642723200,41081922.79954377,,85981.27054271256,22551038.176666085,17634424.82841678,810478.5239181942,,,,,786200.730985,22551038.176666085,17634424.82841678,45492529.256215,,,,
,22/01/2022,1642809600,41316454.36834322,,71310.76490253246,23761117.84468214,16770594.172876175,713431.5858823736,,,,,786200.730985,23814247.43070003,16782946.421442356,45492529.256215,,,,
,23/01/2022,1642896000,41401165.08542885,,49917.45681169963,23955324.718315654,16901753.487376466,494169.4229250238,,,,,786200.730985,23955324.718315654,16901753.487376466,45492529.256215,,,,
,24/01/2022,1642982400,42227895.69522729,,55909.0925825363,23796832.044893943,17886167.643758655,488986.9139921558,,,,,786200.730985,23796832.044893943,17886167.643758655,45492529.256215,,,,
,25/01/2022,1643068800,40612741.4696593,,51049.585864318025,22661943.1722707,17358084.17820518,541664.5333190974,,,,,786200.730985,22710293.386891395,17433028.76888261,45492529.256215,,,,
,26/01/2022,1643155200,40598958.01297325,,53802.074623496505,21290056.40174352,18655499.357428756,599600.1791774724,,,,,786200.730985,21347823.61243878,18655499.357428756,45492529.256215,,,,
,27/01/2022,1643241600,40617828.43007402,,53834.308853466886,21931989.209192004,18044367.448344294,587637.463684258,,,,,786200.730985,21931989.209192004,18099807.157668233,45492529.256215,,,,
,28/01/2022,1643328000,40872563.74201988,,50798.78783113381,21734800.98681019,18538408.680653013,548555.2867255363,,,,,786200.730985,21734800.98681019,18569084.808757078,45492529.256215,,,,
,29/01/2022,1643414400,38838134.337812886,,51522.87870437099,21613564.49264582,16635006.368024148,538040.5984385473,,,,,786200.730985,21613564.49264582,16635006.368024148,45492529.256215,,,,
,30/01/2022,1643500800,38825719.12495495,,51062.165076013785,21675658.537780616,16583143.620327441,515854.8017708764,,,,,786200.730985,21675658.537780616,16583143.620327441,45492529.256215,,,,
,31/01/2022,1643587200,38803431.74942459,,49496.839420622644,21712162.80095435,16523144.537620582,518627.5714290427,,,,,786200.730985,21712162.80095435,16547684.754110929,45492529.256215,,,,
,01/02/2022,1643673600,38831375.337833494,,49209.876153813115,20567933.485456925,17729780.212472152,484451.7637506038,,,,,786200.730985,20590562.513659436,17729780.212472152,45492529.256215,,,,
,02/02/2022,1643760000,39077303.839471444,,86877.24845138255,19433425.624173235,18996314.264726393,560686.7021204388,,,,,1424847.858091,19433425.624173235,18996314.264726393,54736974.362772,,,,
,03/02/2022,1643846400,39100655.448929295,,85201.62737026752,21133356.73833073,17402508.134954,479588.9482742995,,,,,1424847.858091,21133356.73833073,17402508.134954,54736974.362772,,,,
,04/02/2022,1643932800,39089084.10060051,,82532.8873320631,21562289.44847574,17003623.64747496,440638.1173177509,,,,,1424847.858091,21562289.44847574,17003623.64747496,54736974.362772,,,,
,05/02/2022,1644019200,39370689.65596908,,86166.24937019513,22552958.70986437,16228725.671229888,502839.0255046305,,,,,1424847.858091,22329662.088974625,16228725.671229888,54736974.362772,,,,
,06/02/2022,1644105600,39090719.705071814,,83270.95852255423,21889515.31401015,16649869.354216894,468064.07832221786,,,,,1424847.858091,21889515.31401015,16649869.354216894,54736974.362772,,,,
,07/02/2022,1644192000,38640179.92589689,,83964.85942944454,21234883.08537841,16858835.747799,462496.2332900367,,,,,1424847.858091,21234883.08537841,16858835.747799,54736974.362772,,,,
,08/02/2022,1644278400,38698333.44218595,,85036.34501872897,21370209.066500835,16767464.776184669,475623.25448171666,,,,,1424847.858091,21370679.221443705,16767464.776184669,54736974.362772,,,,
,09/02/2022,1644364800,38628343.21516085,,79928.26544747273,21585433.4008264,16554160.392657075,408821.1562299024,,,,,1424847.858091,21585433.4008264,16554160.392657075,54736974.362772,,,,
,10/02/2022,1644451200,38229225.09376122,,78439.29943576765,21821126.33265371,15919226.848916605,410432.6127551424,,,,,1424847.858091,21821126.33265371,15919226.848916605,54736974.362772,,,,
,11/02/2022,1644537600,38174060.65802689,,72678.63954550572,22412708.960154034,15319315.61850378,369357.4398235747,,,,,1424847.858091,22412708.960154034,15319315.61850378,54736974.362772,,,,
,12/02/2022,1644624000,38132599.38578309,,62199.92368818283,22560335.72949265,15193999.853127511,316063.879474749,,,,,1424847.858091,22570131.166418876,15163672.508111289,54736974.362772,,,,
,13/02/2022,1644710400,38201565.727289215,,66104.90447350277,22206709.62884715,15579940.372211546,348810.82175702095,,,,,1424847.858091,22184525.103743408,15548842.68683787,54736974.362772,,,,
,14/02/2022,1644796800,38311619.306283504,,66608.18923393766,22319271.776452094,15537493.813030535,388245.5275669364,,,,,1424847.858091,22274722.331788518,15506480.85132788,54736974.362772,,,,
,15/02/2022,1644883200,38225357.55975207,,61256.318194162064,22053846.859645758,15765967.023716468,344287.3581956815,,,,,1424847.858091,22031815.044601157,15750216.806909561,54736974.362772,,,,
,16/02/2022,1644969600,38205647.936700076,,68313.9458472513,22270516.30930545,15527378.924540747,339438.75700662716,,,,,1424847.858091,22248268.04126419,15534353.849419137,54736974.362772,,,,
,17/02/2022,1645056000,38201722.65711084,,72691.46317622854,22239521.41737454,15558900.093518162,330609.68304191204,,,,,1424847.858091,22239521.41737454,15543356.736781383,54736974.362772,,,,
,18/02/2022,1645142400,38183264.18389441,,61998.70667366321,22424693.469245665,15389506.887085572,307065.1208895093,,,,,1424847.858091,22424693.469245665,15358789.308468634,54736974.362772,,,,
,19/02/2022,1645228800,38165704.56238048,,61038.13124165258,22426997.997965585,15390109.927837389,287558.5053358482,,,,,1424847.858091,22404593.404561028,15390109.927837389,54736974.362772,,,,
,20/02/2022,1645315200,38228833.51418448,,62291.44166610802,22516415.660467967,15354062.875638071,296063.5364123357,,,,,1424847.858091,22471472.71503789,15323416.04355097,54736974.362772,,,,
,21/02/2022,1645401600,38233717.98633123,,53636.50257018443,22590570.13998142,15338755.243156591,250756.10062303845,,,,,1424847.858091,22545479.181618184,15292876.613316644,54736974.362772,,,,
,22/02/2022,1645488000,38190288.07959634,,48441.33629784168,22163840.956074897,15753462.128883407,224543.6583401942,,,,,1424847.858091,22119601.752569757,15722018.09269801,54736974.362772,,,,
,23/02/2022,1645574400,38111122.47124364,,47764.40532894122,22147603.765358515,15687679.012630105,228075.28792608026,,,,,1424847.858091,22153762.511336666,15687679.012630105,54736974.362772,,,,
,24/02/2022,1645660800,38111913.099720985,,48063.90834871195,22163674.040610246,15667594.46247615,232580.68828588,,,,,1424847.858091,22171522.75966717,15670446.48373619,54736974.362772,,,,
,25/02/2022,1645747200,38155849.831629425,,43969.494040658814,21496891.410783928,16403044.625223465,211944.30158137134,,,,,1424847.858091,21475415.994789142,16370304.017189087,54736974.362772,,,,
,26/02/2022,1645833600,38104332.954955295,,43811.620897982335,21401421.905395932,16440667.700878533,218431.72778284707,,,,,1424847.858091,21428314.440018155,16424243.457421113,54736974.362772,,,,
,27/02/2022,1645920000,38154357.11025581,,45613.11303888111,21397893.30065497,16494598.595098237,216252.1014637215,,,,,1424847.858091,21376516.783871103,16461675.244609019,54736974.362772,,,,
,28/02/2022,1646006400,37526468.323373176,,43798.92550356674,21271503.756531984,16003370.949782694,207794.6915549296,,,,,1424847.858091,21229045.665201582,15955504.436473276,54736974.362772,,,,
,01/03/2022,1646092800,37581303.66378492,,46214.02837455241,21140425.37052234,16165500.805911617,229163.45897641216,,,,,1424847.858091,21144210.1841453,16133234.337237144,54736974.362772,,,,
,02/03/2022,1646179200,37649599.88879487,,52184.112402996536,20120199.80919878,17194143.70427601,283072.2629170754,,,,,1424847.858091,20100099.709489293,17176966.737538476,54736974.362772,,,,
,03/03/2022,1646265600,37514467.69004318,,52139.728392216995,19916281.120750893,17297259.629244857,248787.2116552095,,,,,1424847.858091,19925307.284950975,17279979.649595264,54736974.362772,,,,
,04/03/2022,1646352000,37016530.34205961,,53275.460371422756,18622655.44605889,18111859.640834454,228739.79479484432,,,,,1424847.858091,18566954.582311958,18093765.8749595,54736974.362772,,,,
,05/03/2022,1646438400,36418391.669810064,,50879.19398912105,18745306.661103457,17403570.465390008,218635.34932747658,,,,,1424847.858091,18726580.081022438,17368832.799790427,54736974.362772,,,,
,06/03/2022,1646524800,36332173.37682339,,54617.48182352293,18993368.775441233,17057446.319067515,226740.80049111586,,,,,1424847.858091,18974394.381060176,17023399.52002746,54736974.362772,,,,
,07/03/2022,1646611200,36204964.12786171,,49753.23646622181,18855089.246087212,17083634.722224534,216486.92308373778,,,,,1424847.858091,18836252.99309412,17118007.681649286,54736974.362772,,,,
,08/03/2022,1646697600,32037060.749788202,,47873.04997812066,16583763.091627054,15191924.681790268,213499.92639276132,,,,,1424847.858091,16550661.768090872,15146485.226111934,54736974.362772,,,,
,09/03/2022,1646784000,31830900.978926934,,48978.774661435025,16546251.50757866,15024245.301622428,211425.39506441227,,,,,1424847.858091,16546251.50757866,15009236.065556873,54736974.362772,,,,
,10/03/2022,1646870400,31889810.45232255,,82977.64043683062,16562603.429766072,14946467.722351298,297761.65976834914,,,,,2158983.007265,16563034.068651857,14949218.378532948,76638404.379697,,,,
,11/03/2022,1646956800,28735054.299883008,,80107.87687576092,15443749.505466545,12916528.097881336,294668.8196593636,,,,,2190719.833001,15452572.924606495,12916528.097881336,77555447.263391,,,,
,12/03/2022,1647043200,28794819.968827344,,77807.2705359366,15876639.910706481,12553958.969732277,286413.81785264827,,,,,2190719.833001,15860779.131574908,12559334.36484043,77555447.263391,,,,
,13/03/2022,1647129600,28902193.017311286,,73304.81550635962,15735079.827280378,12810745.727548152,283062.6469763971,,,,,2190719.833001,15738605.274861947,12810745.727548152,77555447.263391,,,,
,14/03/2022,1647216000,28863812.8246272,,68424.9213567549,14951396.364437994,13590636.505930297,253355.0329021552,,,,,2190719.833001,14958696.20818759,13590636.505930297,77555447.263391,,,,
,15/03/2022,1647302400,28873211.05935148,,66859.87110805899,14652951.068269564,13896077.350389708,257322.76958415026,,,,,2190719.833001,14652951.068269564,13896619.31854313,77555447.263391,,,,
,16/03/2022,1647388800,28826007.55321738,,68949.51112796532,15125238.928322906,13391622.913601533,240196.20016497563,,,,,2190719.833001,15155200.760225872,13397437.401433755,77555447.263391,,,,
,17/03/2022,1647475200,28893524.061036635,,69845.31837487775,15957103.203739941,12609725.0820115,256850.45691031622,,,,,2190719.833001,15957103.203739941,12597127.954057444,77555447.263391,,,,
,18/03/2022,1647561600,28886223.60603139,,72456.34971503833,16261505.000209779,12287627.558954433,264634.6971521428,,,,,2190719.833001,16267621.625941133,12287627.558954433,77555447.263391,,,,
,19/03/2022,1647648000,28792004.560986415,,73964.9451136378,18203687.610338554,10248435.316838816,265916.68869540666,,,,,2190719.833001,18204688.86822631,10238197.119719097,77555447.263391,,,,
,20/03/2022,1647734400,28832263.635855146,,86963.64696434424,17163570.9320541,11276648.41838223,305080.6384544738,,,,,2190719.833001,17177845.721848957,11265383.035346884,77555447.263391,,,,
,21/03/2022,1647820800,28812021.724835835,,80050.6990881196,17513248.923282906,10923759.34766032,294962.7548044918,,,,,2190719.833001,17516629.632802036,10926971.877392273,77555447.263391,,,,
,22/03/2022,1647907200,28871929.366609313,,92603.15130884372,17440383.59910746,11035879.97047633,303062.6457166804,,,,,2190719.833001,17455587.415746573,11040042.066335337,77555447.263391,,,,
,23/03/2022,1647993600,29030119.80986709,,94774.30801373601,17232198.16523767,11398905.072546134,304242.26406955655,,,,,2190719.833001,17232198.16523767,11387517.554991145,77555447.263391,,,,
,24/03/2022,1648080000,608833.0596068564,,99967.20842536363,110284.3038397339,71232.90729720535,327348.64004455344,,,,,2397241.702412,110284.3038397339,71161.74555165372,87769500.553553,,,,
,25/03/2022,1648166400,610471.1410197732,,101961.282018264,110252.05597950115,71041.69492329046,327216.1080987176,,,,,2397241.702412,110345.84995196032,71105.1918596211,87769500.553553,,,,
,26/03/2022,1648252800,608062.973668647,,88877.3285858355,107151.73118273397,74251.2356297177,337782.67827035976,,,,,2397241.702412,107178.63301962189,74273.814869438,87769500.553553,,,,
,27/03/2022,1648339200,597604.207645302,,90794.54660975651,112109.61833278836,69330.60489568643,325369.4378070708,,,,,2397241.702412,112109.61833278836,69348.0112465093,87769500.553553,,,,
,28/03/2022,1648425600,614333.63271725,,82781.43060560606,106884.92800831735,73864.86812085284,350802.4059824738,,,,,2397241.702412,107343.17602677565,74114.2626145508,87769500.553553,,,,
,29/03/2022,1648512000,607502.1090534559,,92469.2356906445,111111.21450253145,70115.81666000164,333805.8422002783,,,,,2397241.702412,111188.15670697269,70279.35672309628,87769500.553553,,,,
,30/03/2022,1648598400,621423.6394796452,,89838.86223267294,108825.06599422653,72770.92854040339,349988.7827123424,,,,,2397241.702412,108716.34964458196,72777.04181191558,87769500.553553,,,,
,31/03/2022,1648684800,602544.3274740392,,95236.8991809132,101559.64746105632,80731.17641722418,325016.6044148455,,,,,2397241.702412,100753.6185129527,80740.62307012339,87769500.553553,,,,
,01/04/2022,1648771200,586752.9960145534,,87216.54350682147,101484.02610671739,80762.17111989827,317290.25528111623,,,,,2397241.702412,100678.59732809264,80821.89850289191,87769500.553553,,,,
,02/04/2022,1648857600,602066.8066890172,,85445.67708883272,106327.54076078678,75816.30995988479,334477.278879513,,,,,2397241.702412,105693.38047791927,75816.30995988479,87769500.553553,,,,
,03/04/2022,1648944000,591287.4936388982,,86938.91894526515,103878.7627295795,77814.2071140987,322655.6048499549,,,,,2397241.702412,103774.98774183767,77736.47064345525,87769500.553553,,,,
,04/04/2022,1649030400,589851.0866626166,,86178.70565659626,107418.31170792312,74061.88741106493,322192.1818870322,,,,,2397241.702412,107418.31170792312,74097.38005611181,87769500.553553,,,,
,05/04/2022,1649116800,572403.7368424736,,80355.54186485024,99951.28941201021,81542.95945198214,310553.946113631,,,,,2397241.702412,99973.58352113543,81542.95945198214,87769500.553553,,,,
,06/04/2022,1649203200,549395.9994378918,,84599.8822713877,93499.63820122421,87900.17171292924,283396.30725235067,,,,,2397241.702412,93617.50263704425,87900.17171292924,87769500.553553,,,,
,07/04/2022,1649289600,536137.6009272642,,81551.83235876067,94212.71833472753,87105.17423611892,273267.8759976571,,,,,2401656.7189,94377.69053778758,87143.08147656123,87920066.66291,,,,
,08/04/2022,1649376000,539611.8437861514,,80326.0507860013,91613.09580082541,90000.90506252245,277671.7921368023,,,,,2401656.7189,91613.09580082541,89910.994068454,87920066.66291,,,,
