,Date,Timestamp,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido
,,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,,ethereum,moonriver,solana,terra,Total,moonbeam,ethereum,ethereum,ethereum,moonriver,solana,terra,Total,Total,Total,Total,Total,Total,Total,moonbeam,ethereum,ethereum,ethereum,moonriver,solana,terra,Total,Total,Total,Total,Total,Total,Total,moonbeam
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,ethereum,WETH,MATIC,kusama,solana,terra-luna,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,polkadot,ethereum,WETH,MATIC,kusama,solana,terra-luna,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,polkadot
,24/01/2022,1642982400,4414210069.233432,,166002917.60170388,4612949786.756639,9193162773.591774,,,4414210069.233432,,,166002917.60170388,4612949786.756639,,4612949786.756639,4414210069.233432,166002917.60170388,,,,,,1764752.2385114387,,,1780192.145862776,67087693.233808,,67087693.233808,1764752.2385114385,1780192.145862776,,,,
,25/01/2022,1643068800,4298988189.214684,,159932684.72178915,4309691334.765592,8768612208.702065,,,4298988189.214684,,,159932684.72178915,4309691334.765592,,4309691334.765592,4298988189.2146845,159932684.72178915,,,,,,1770770.5444196,,,1773089.631061964,67129148.516598,,67129148.516598,1770770.5444196002,1773089.631061964,,,,
,26/01/2022,1643155200,4324040924.342262,,180289017.28210047,4217529598.0974655,8721859539.721828,,,4324040924.342262,,,180289017.28210047,4217529598.0974655,,4217529598.0974655,4324040924.342262,180289017.28210047,,,,,,1772620.1341924127,,,1886657.778171834,66807058.420679,,66807058.420679,1772620.1341924127,1886657.778171834,,,,
,27/01/2022,1643241600,4643431018.617635,,172314502.66158637,4139600994.5360894,8955346515.815311,,,4643431018.617635,,,172314502.66158637,4139600994.5360894,,4139600994.5360894,4643431018.617635,172314502.66158637,,,,,,1775262.9456833093,,,1868110.393122142,66854021.229588,,66854021.229588,1775262.9456833093,1868110.393122142,,,,
,28/01/2022,1643328000,4277173622.806715,,169549770.1682571,3610637768.6992393,8057361161.674211,,,4277173622.806715,,,169549770.1682571,3610637768.6992393,,3610637768.6992393,4277173622.8067145,169549770.1682571,,,,,,1782096.272960366,,,1903129.084838445,66938037.981076,,66938037.981076,1782096.2729603657,1903129.084838445,,,,
,29/01/2022,1643414400,4579049761.208031,,177352443.07893443,3358357492.726135,8114759697.013101,,,4579049761.208031,,,177352443.07893443,3358357492.726135,,3358357492.726135,4579049761.208031,177352443.07893443,,,,,,1787120.6015057198,,,1912155.720527595,65708422.866878,,65708422.866878,1787120.6015057198,1912155.720527595,,,,
,30/01/2022,1643500800,4647283399.447547,,183234569.63275713,3323789123.211787,8154307092.292091,,,4647283399.447547,,,183234569.63275713,3323789123.211787,,3323789123.211787,4647283399.447547,183234569.63275713,,,,,,1790550.1548662265,,,1902747.348211393,65570903.989185,,65570903.989185,1790550.1548662265,1902747.348211393,,,,
,31/01/2022,1643587200,4609959116.308362,,176602795.23635122,2954961109.428769,7741523020.973482,,,4609959116.308362,,,176602795.23635122,2954961109.428769,,2954961109.428769,4609959116.308362,176602795.23635122,,,,,,1794477.5985349624,,,1932831.292944634,65636630.59593,,65636630.59593,1794477.5985349624,1932831.292944634,,,,
,01/02/2022,1643673600,4832265729.773805,,195632891.28119186,3324298079.1609516,8352196700.215948,,,4832265729.773805,,,195632891.28119186,3324298079.1609516,,3324298079.1609516,4832265729.773805,195632891.28119186,,,,,,1796428.059382142,,,1946015.033136296,64877011.693227,,64877011.693227,1796428.059382142,1946015.033136296,,,,
,02/02/2022,1643760000,5030217637.264362,,221182242.0410794,3375255688.8313785,8626655568.13682,,,5030217637.264362,,,221182242.0410794,3375255688.8313785,,3375255688.8313785,5030217637.264362,221182242.0410794,,,,,,1797822.5619701433,,,2005460.53169897,64871337.475137,,64871337.475137,1797822.5619701433,2005460.53169897,,,,
,03/02/2022,1643846400,4843291471.039154,,203562535.17644474,3090522334.6699853,8137376340.885584,,,4843291471.039154,,,203562535.17644474,3090522334.6699853,,3090522334.6699853,4843291471.039154,203562535.17644474,,,,,,1800045.1456113409,,,2000024.908395016,64899671.034649,,64899671.034649,1800045.1456113409,2000024.908395016,,,,
,04/02/2022,1643932800,4843844785.621502,,200116366.11433032,3299511239.796356,8343472391.532188,,,4843844785.621502,,,200116366.11433032,3299511239.796356,,3299511239.796356,4843844785.621502,200116366.11433032,,,,,,1802146.2693266296,,,1978803.185151096,64569691.581142,,64569691.581142,1802146.2693266296,1978803.185151096,,,,
,05/02/2022,1644019200,5398931944.489123,,221638364.58534,3441585166.7925644,9062155475.86703,,,5398931944.489123,,,221638364.58534,3441585166.7925644,,3441585166.7925644,5398931944.489123,221638364.58534,,,,,,1818587.602354231,,,1977677.920811457,64667139.548902,,64667139.548902,1818587.602354231,1977677.920811457,,,,
,06/02/2022,1644105600,5512608455.214857,,229080485.61586893,3613814528.5631514,9355503469.393877,,,5512608455.214857,,,229080485.61586893,3613814528.5631514,,3613814528.5631514,5512608455.214857,229080485.61586893,,,,,,1821218.0381167596,,,2000353.524413805,64659411.854771,,64659411.854771,1821218.0381167596,2000353.524413805,,,,
,07/02/2022,1644192000,5589328644.696617,,231780816.16502687,3604748243.4627676,9425857704.324413,,,5589328644.696617,,,231780816.16502687,3604748243.4627676,,3604748243.4627676,5589328644.696617,231780816.16502687,,,,,,1825551.8612729504,,,2011462.433090574,64428029.373776,,64428029.373776,1825551.8612729504,2011462.433090574,,,,
,08/02/2022,1644278400,5756371278.7361,,238181370.0068019,3854541004.1554794,9849093652.89838,,,5756371278.7361,,,238181370.0068019,3854541004.1554794,,3854541004.1554794,5756371278.7361,238181370.0068019,,,,,,1829975.6099745997,,,2024146.936405217,64565175.949003,,64565175.949003,1829975.6099745997,2024146.936405217,,,,
,09/02/2022,1644364800,5747489509.364791,,232038104.70500195,3704512557.396174,9684040171.465967,,,5747489509.364791,,,232038104.70500195,3704512557.396174,,3704512557.396174,5747489509.364791,232038104.70500195,,,,,,1839738.2619410485,,,2028482.425955083,64572294.882276,,64572294.882276,1839738.2619410485,2028482.425955083,,,,
,10/02/2022,1644451200,5973983110.569378,,229797745.65305254,3663720928.557226,9867501784.779657,,,5973983110.569378,,,229797745.65305254,3663720928.557226,,3663720928.557226,5973983110.569378,229797745.65305254,,,,,,1842582.1856187435,,,2010127.236293322,63939283.220894,,63939283.220894,1842582.1856187435,2010127.236293322,,,,
,11/02/2022,1644537600,5771786982.449202,,215916421.8651814,3336087016.5566087,9323790420.87099,,,5771786982.449202,,,215916421.8651814,3336087016.5566087,,3336087016.5566087,5771786982.449202,215916421.8651814,,,,,,1850975.8653757253,,,2026432.86593319,63873004.337672,,63873004.337672,1850975.8653757256,2026432.86593319,,,,
,12/02/2022,1644624000,5436411447.70961,,196675985.14880297,3235966807.7848988,8869054240.64331,,,5436411447.70961,,,196675985.14880297,3235966807.7848988,,3235966807.7848988,5436411447.709609,196675985.14880297,,,,,,1858538.664561762,,,2041689.869706249,63863564.392834,,63863564.392834,1858538.6645617618,2041689.869706249,,,,
,13/02/2022,1644710400,5426514933.056999,,195135468.5387264,3286946656.363448,8908597057.959175,,,5426514933.056999,,,195135468.5387264,3286946656.363448,,3286946656.363448,5426514933.056999,195135468.5387264,,,,,,1860313.1766159637,,,2043303.335484046,63210512.622374,,63210512.622374,1860313.1766159637,2043303.335484046,,,,
,14/02/2022,1644796800,5392404902.482872,,193900360.21065214,3282194808.956002,8868500071.649525,,,5392404902.482872,,,193900360.21065214,3282194808.956002,,3282194808.956002,5392404902.482872,193900360.21065214,,,,,,1868664.4150406737,,,2076465.626586551,63265127.389283,,63265127.389283,1868664.4150406737,2076465.626586551,,,,
,15/02/2022,1644883200,5491568754.387255,,200956501.0611755,3416752111.961101,9109277367.409533,,,5491568754.387255,,,200956501.0611755,3416752111.961101,,3416752111.961101,5491568754.387255,200956501.0611755,,,,,,1871400.544012123,,,2084611.006858667,63320091.029672,,63320091.029672,1871400.544012123,2084611.006858667,,,,
,16/02/2022,1644969600,5972866800.521769,,218421583.67858136,3573343661.328639,9764632045.528988,,,5972866800.521769,,,218421583.67858136,3573343661.328639,,3573343661.328639,5972866800.521769,218421583.67858136,,,,,,1876318.777278152,,,2076250.795423777,62910979.952969,,62910979.952969,1876318.777278152,2076250.795423777,,,,
,17/02/2022,1645056000,5911446787.16558,,212652742.8310704,4652893176.791348,10776992706.787998,,,5911446787.16558,,,212652742.8310704,4652893176.791348,,4652893176.791348,5911446787.16558,212652742.8310704,,,,,,1881332.2005135259,,,2075268.301269351,82322950.757101,,82322950.757101,1881332.2005135259,2075268.301269351,,,,
,18/02/2022,1645142400,5450046373.464681,,195552674.73380008,4203582339.379751,9849181387.578234,,,5450046373.464681,,,195552674.73380008,4203582339.379751,,4203582339.379751,5450046373.464681,195552674.73380008,,,,,,1891733.4981376757,,,2089907.820175271,82310208.329347,,82310208.329347,1891733.4981376755,2089907.820175271,,,,
,19/02/2022,1645228800,5288810943.783948,,193318615.7031409,4153640528.542336,9635770088.029425,,,5288810943.783948,,,193318615.7031409,4153640528.542336,,4153640528.542336,5288810943.783948,193318615.7031409,,,,,,1896576.0517906584,,,2143697.224474838,81732399.22358,,81732399.22358,1896576.0517906584,2143697.224474838,,,,
,20/02/2022,1645315200,5242934534.096253,,196668363.74200806,4128924437.8800607,9568527335.718323,,,5242934534.096253,,,196668363.74200806,4128924437.8800607,,4128924437.8800607,5242934534.096253,196668363.74200806,,,,,,1901101.7804137487,,,2151497.251307385,81760879.958021,,81760879.958021,1901101.7804137487,2151497.251307385,,,,
,21/02/2022,1645401600,5032710704.87876,,197080030.20149717,4054229625.178632,9284020360.25889,,,5032710704.87876,,,197080030.20149717,4054229625.178632,,4054229625.178632,5032710704.87876,197080030.20149717,,,,,,1903777.02054017,,,2157889.304735543,81986443.380761,,81986443.380761,1903777.02054017,2157889.304735543,,,,
,22/02/2022,1645488000,4917021181.440761,,180359994.70518547,4079073873.158322,9176455049.304268,,,4917021181.440761,,,180359994.70518547,4079073873.158322,,4079073873.158322,4917021181.440761,180359994.70518547,,,,,,1906435.473986112,,,2160258.65019985,81143303.623599,,81143303.623599,1906435.473986112,2160258.65019985,,,,
,23/02/2022,1645574400,5056001870.417684,,188437965.5299893,4335042184.24158,9579482020.189253,,,5056001870.417684,,,188437965.5299893,4335042184.24158,,4335042184.24158,5056001870.417684,188437965.5299893,,,,,,1938353.7304162257,,,2175706.795173644,81210981.345852,,81210981.345852,1938353.7304162257,2175706.795173644,,,,
