,Date,Timestamp,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment
,02/12/2022,1669939200,4263030.808899509,4263030.808899509,1819350.0488145289,435837.0481013996,2007843.7119835801,,,,,1819350.0488145289,435837.0481013996,2007843.7119835801,,,,,1813908.323843,339.6088737300032,1999844.334645,,,,,1813908.323843,339.6088737300032,1999844.334645,,,,
,03/12/2022,1670025600,4273900.032896306,4273900.032896306,1815777.3726912818,445731.90622722264,2012390.7539778023,,,,,1815777.3726912818,445731.90622722264,2012390.7539778023,,,,,1813963.409282,345.55539671852284,2013115.475549,,,,,1813963.409282,345.55539671852284,2013115.475549,,,,
,04/12/2022,1670112000,3273292.2107230886,3273292.2107230886,1313773.18025,445778.9435731463,1513740.0868999423,,,,,1313773.18025,445778.9435731463,1513740.0868999423,,,,,1313773.18025,356.22703040071144,1513883.905871,,,,,1313773.18025,356.22703040071144,1513883.905871,,,,
,05/12/2022,1670198400,3295607.766880124,3295607.766880124,1316423.711221968,461904.857063756,1517279.1985944,,,,,1316423.711221968,461904.857063756,1517279.1985944,,,,,1313796.118984,357.4229734614925,1514250.6972,,,,,1313796.118984,357.4229734614925,1514250.6972,,,,
,06/12/2022,1670284800,3335510.1237346823,3335510.1237346823,1318411.0425486,476114.4832192688,1540984.5979668137,,,,,1318411.0425486,476114.4832192688,1540984.5979668137,,,,,1317093.9486,376.64901210308585,1539445.152814,,,,,1317093.9486,376.64901210308585,1539445.152814,,,,
,07/12/2022,1670371200,3365786.376328377,3365786.376328377,1330916.4363144648,493995.1261520968,1540874.8138618155,,,,,1330916.4363144648,493995.1261520968,1540874.8138618155,,,,,1329586.849465,389.924324060381,1541975.784572,,,,,1329586.849465,389.924324060381,1541975.784572,,,,
,08/12/2022,1670457600,3343519.9907460865,3343519.9907460865,1331030.098541143,472239.80373885494,1540250.088466089,,,,,1331030.098541143,472239.80373885494,1540250.088466089,,,,,1329700.398143,383.4329079325882,1538711.377089,,,,,1329700.398143,383.4329079325882,1538711.377089,,,,
,09/12/2022,1670544000,3332872.4226842914,3332872.4226842914,1325671.184879,473251.6040580125,1533949.6337472792,,,,,1325671.184879,473251.6040580125,1533949.6337472792,,,,,1325671.184879,371.18937382977697,1535034.903424,,,,,1325671.184879,371.18937382977697,1535034.903424,,,,
,10/12/2022,1670630400,3358269.979906127,3358269.979906127,1325306.8771547547,497309.8893505905,1535653.2134007819,,,,,1325306.8771547547,497309.8893505905,1535653.2134007819,,,,,1325318.805024,393.74976393741184,1536256.962387,,,,,1325318.805024,393.74976393741184,1536256.962387,,,,
,11/12/2022,1670716800,3392910.876935101,3392910.876935101,1326512.496848539,530274.3484134398,1536124.0316731222,,,,,1326512.496848539,530274.3484134398,1536124.0316731222,,,,,1325187.309539,418.6001897831035,1536695.682467,,,,,1325187.309539,418.6001897831035,1536695.682467,,,,
,12/12/2022,1670803200,3499134.2597279064,3499134.2597279064,1306096.5330673258,656366.4637045803,1536671.262956,,,,,1306096.5330673258,656366.4637045803,1536671.262956,,,,,1304791.741326,522.9886645774048,1536671.262956,,,,,1304791.741326,522.9886645774048,1536671.262956,,,,
,13/12/2022,1670889600,3604354.911223128,3604354.911223128,1304786.3302521699,754993.9188449581,1544574.662126,,,,,1304786.3302521699,754993.9188449581,1544574.662126,,,,,1304894.636507,593.9923046654011,1544574.662126,,,,,1304894.636507,593.9923046654011,1544574.662126,,,,
