,Date,Timestamp,Liquity,Liquity,Liquity,Liquity,Liquity,Liquity
,,,CDP,CDP,CDP,CDP,CDP,CDP
,,,ethereum,Total,ethereum,Total,ethereum,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens,Tokens
,,,,,WETH,WETH,WETH,WETH
,01/04/2022,1648771200,1219218484.3720584,1219218484.3720584,1219218484.3720584,1219218484.3720584,371003.7472185969,371003.7472185969
,02/04/2022,1648857600,1278734068.6113122,1278734068.6113122,1278734068.6113122,1278734068.6113122,371005.6572318534,371005.6572318534
,03/04/2022,1648944000,1296475570.4935038,1296475570.4935038,1296475570.4935038,1296475570.4935038,376137.8116268387,376137.8116268387
,04/04/2022,1649030400,1327008287.877094,1327008287.877094,1327008287.877094,1327008287.877094,376226.78022683866,376226.78022683866
,05/04/2022,1649116800,1327547408.1278267,1327547408.1278267,1327547408.1278267,1327547408.1278267,376171.6607995882,376171.6607995882
,06/04/2022,1649203200,1277601770.9531488,1277601770.9531488,1277601770.9531488,1277601770.9531488,372499.2844948113,372499.2844948113
,07/04/2022,1649289600,1181976748.6771886,1181976748.6771886,1181976748.6771886,1181976748.6771886,371599.654385776,371599.654385776
,08/04/2022,1649376000,1204727520.9508264,1204727520.9508264,1204727520.9508264,1204727520.9508264,371853.58339609246,371853.58339609246
,09/04/2022,1649462400,1191525575.1409552,1191525575.1409552,1191525575.1409552,1191525575.1409552,373332.9077798073,373332.9077798073
,10/04/2022,1649548800,1219650514.9937994,1219650514.9937994,1219650514.9937994,1219650514.9937994,373405.45848464145,373405.45848464145
,11/04/2022,1649635200,1201087027.615342,1201087027.615342,1201087027.615342,1201087027.615342,372871.75122636487,372871.75122636487
,12/04/2022,1649721600,1117861494.173701,1117861494.173701,1117861494.173701,1117861494.173701,374173.31732479826,374173.31732479826
,13/04/2022,1649808000,1136915038.620379,1136915038.620379,1136915038.620379,1136915038.620379,374724.79849056655,374724.79849056655
,14/04/2022,1649894400,1168779692.3025835,1168779692.3025835,1168779692.3025835,1168779692.3025835,374229.84807137115,374229.84807137115
,15/04/2022,1649980800,1132574325.745997,1132574325.745997,1132574325.745997,1132574325.745997,374475.29807137116,374475.29807137116
,16/04/2022,1650067200,1136969628.033017,1136969628.033017,1136969628.033017,1136969628.033017,374278.9516067816,374278.9516067816
,17/04/2022,1650153600,1147035627.4911327,1147035627.4911327,1147035627.4911327,1147035627.4911327,373995.1442432402,373995.1442432402
